Feature ID	Taxon	Confidence
A04_hvs_66_8F_4338589_032.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; s__coli	-1.0
A04_hvs_843_8F_5095511_032.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
A05_hvs_472_8F_5095511_047.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; s__coli	-1.0
A05_hvs_875_8F_5095511_047.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
A05_hvs_89_8F_4338589_047.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__variicola	-1.0
A06_hvs_107_8F_4338589_048.ab1	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae; g__Desulfobulbus; s__marinus	-1.0
A06_hvs_486_8F_5095511_048.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__boydii	-1.0
A06_hvs_613_8F_5347638_048.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__cholerae	-1.0
A06_hvs_900_8F_5095511_048.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
A07_hvs_189_8F_4338589_063.ab1	k__Archaea; p__Halobacterota; c__Methanosarcinia; o__Methanosarciniales; f__Methanosaetaceae; g__Methanosaeta; s__thermoacetophila	-1.0
A07_hvs_510_8F_5095511_063.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
A07_hvs_700_8F_5347638_063.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; s__coli	-1.0
A07_hvs_959_8F_5095511_063.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Erwiniaceae; g__Siccibacter; s__turicensis	-1.0
A08_hvs_215_8F_4338589_064.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
A08_hvs_550_8F_5095511_064.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Morganellaceae; g__Providencia; s__rettgeri	-1.0
A08_hvs_874_8F_5347638_064.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
A09_hvs_248_8F_4338589_079.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Morganellaceae; g__Proteus; s__mirabilis	-1.0
A09_hvs_582_8F_5095511_079.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
A09_hvs_982_8F_5347638_079.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__cholerae	-1.0
A10_hvs_289_8F_4338589_080.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__boydii	-1.0
A10_hvs_611_8F_5095511_080.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
A11_hvs_316_8F_4338589_095.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Morganellaceae; g__Providencia; s__vermicola	-1.0
A11_hvs_636_8F_5095511_095.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__pneumoniae	-1.0
A12_hvs_351_8F_4338589_096.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; s__ludwigii	-1.0
A12_hvs_680_8F_5095511_096.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__variicola	-1.0
B01_hvs_735_8F_5095511_013.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Morganellaceae; g__Providencia; s__vermicola	-1.0
B01_hvs_83_8F_5347638_013.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
B01_hvs_KL2_8F_4338589_013.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__odontotermitis	-1.0
B02_hvs_265_8F_5347638_014.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia/Shigella; s__albertii	-1.0
B02_hvs_381_8F_5095511_014.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__pneumoniae	-1.0
B02_hvs_793_8F_5095511_014.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__pneumoniae	-1.0
B02_hvs_KW2_8F_4338589_014.ab1	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Weeksellaceae; g__Elizabethkingia; s__meningoseptica	-1.0
B03_hvs_409_8F_5095511_029.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
B03_hvs_AL4_8F_4338589_029.ab1	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__rivorum	-1.0
B04_hvs_412_8F_5347638_030.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__cholerae	-1.0
B04_hvs_432_8F_5095511_030.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
B04_hvs_67_8F_4338589_030.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
B04_hvs_852_8F_5095511_030.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__cloacae	-1.0
B05_hvs_473_8F_5095511_045.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
B05_hvs_498_8F_5347638_045.ab1	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae; g__Desulfobulbus; s__marinus	-1.0
B05_hvs_877_8F_5095511_045.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
B05_hvs_91_8F_4338589_045.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__quasipneumoniae	-1.0
B06_hvs_153_8F_4338589_046.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
B06_hvs_488_8F_5095511_046.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
B06_hvs_614_8F_5347638_046.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__liquefaciens	-1.0
B06_hvs_910_8F_5095511_046.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
B07_hvs_190_8F_4338589_061.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__cholerae	-1.0
B07_hvs_519_8F_5095511_061.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
B07_hvs_705_8F_5347638_061.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
B07_hvs_967_8F_5095511_061.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
B08_hvs_218_8F_4338589_062.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__variicola	-1.0
B08_hvs_555_8F_5095511_062.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Morganellaceae; g__Providencia; s__vermicola	-1.0
B08_hvs_906_8F_5347638_062.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
B09_hvs_251_8F_4338589_077.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Pseudocitrobacter; s__kobei	-1.0
B09_hvs_586_8F_5095511_077.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__quasipneumoniae	-1.0
B09_hvs_989_8F_5347638_077.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__cholerae	-1.0
B10_hvs_290_8F_4338589_078.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__cholerae	-1.0
B10_hvs_615_8F_5095511_078.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__quasipneumoniae	-1.0
B11_hvs_335_8F_4338589_093.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Kluyvera; s__intermedia	-1.0
B11_hvs_646_8F_5095511_093.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
B12_hvs_353_8F_4338589_094.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__variicola	-1.0
B12_hvs_681_8F_5095511_094.ab1	k__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__taeda	-1.0
C01_hvs_169_8F_5347638_011.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Morganellaceae; g__Proteus; s__columbae	-1.0
C01_hvs_189_8F_5095511_011.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Citrobacter; s__europaeus	-1.0
C01_hvs_KL3_8F_4338589_011.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Morganella; s__morganii	-1.0
C02_hvs_275_8F_5347638_012.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__cholerae	-1.0
C02_hvs_386_8F_5095511_012.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Xenorhabdus; s__ehlersii	-1.0
C02_hvs_799_8F_5095511_012.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
C02_hvs_AW1_8F_4338589_012.ab1	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Kinneretia; s__asaccharophila	-1.0
C03_hvs_348_8F_5347638_027.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Morganellaceae; g__Providencia; s__stuartii	-1.0
C03_hvs_AL5_8F_4338589_027.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas; s__caviae	-1.0
C04_hvs_425_8F_5347638_028.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__quasipneumoniae	-1.0
C04_hvs_442_8F_5095511_028.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
C04_hvs_72_8F_4338589_028.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__aerogenes	-1.0
C04_hvs_853_8F_5095511_028.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
C05_hvs_474_8F_5095511_043.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
C05_hvs_522_8F_5347638_043.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
C05_hvs_881_8F_5095511_043.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__variicola	-1.0
C05_hvs_92_8F_4338589_043.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__quasipneumoniae	-1.0
C06_hvs_155_8F_4338589_044.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__pneumoniae	-1.0
C06_hvs_489_8F_5095511_044.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
C06_hvs_642_8F_5347638_044.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__cholerae	-1.0
C06_hvs_931_8F_5095511_044.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
C07_hvs_191_8F_4338589_059.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__quasipneumoniae	-1.0
C07_hvs_520_8F_5095511_059.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; s__leguminosarum	-1.0
C07_hvs_724_8F_5347638_059.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
C07_hvs_971_8F_5095511_059.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__boydii	-1.0
C08_hvs_219_8F_4338589_060.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__variicola	-1.0
C08_hvs_556_8F_5095511_060.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__pneumoniae	-1.0
C08_hvs_907_8F_5347638_060.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__cholerae	-1.0
C09_hvs_253_8F_4338589_075.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__quasipneumoniae	-1.0
C09_hvs_594_8F_5095511_075.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__quasipneumoniae	-1.0
C09_hvs_EC_8F_5347638_075.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
C10_hvs_291_8F_4338589_076.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
C10_hvs_625_8F_5095511_076.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
C11_hvs_336_8F_4338589_091.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Kluyvera; s__intermedia	-1.0
C11_hvs_658_8F_5095511_091.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Erwiniaceae; g__Pantoea; s__ananatis	-1.0
C12_hvs_354_8F_4338589_092.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__variicola	-1.0
C12_hvs_703_8F_5095511_092.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
D01_hvs_186_8F_5347638_009.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Kluyvera; s__ascorbata	-1.0
D01_hvs_737_8F_5095511_009.ab1	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae; g__Desulfobulbus; s__marinus	-1.0
D01_hvs_KL4_8F_4338589_009.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__odontotermitis	-1.0
D02_hvs_276_8F_5347638_010.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__quasipneumoniae	-1.0
D02_hvs_389_8F_5095511_010.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
D02_hvs_809_8F_5095511_010.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
D02_hvs_AW2_8F_4338589_010.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas; s__sanarellii	-1.0
D03_hvs_358_8F_5347638_025.ab1	k__Bacteria; p__Cyanobacteria/Chloroplast; c__Cyanobacteria; o__; f__Family V; g__Alkalinema; s__pantanalense	-1.0
D03_hvs_411_8F_5095511_025.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__granulomatis	-1.0
D03_hvs_828_8F_5095511_025.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; s__freundii	-1.0
D03_hvs_AL6_8F_4338589_025.ab1	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Leucobacter; s__ruminantium	-1.0
D04_hvs_434_8F_5347638_026.ab1	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae; g__Desulfobulbus; s__marinus	-1.0
D04_hvs_443_8F_5095511_026.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
D04_hvs_79_8F_4338589_026.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
D04_hvs_854_8F_5095511_026.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
D05_hvs_476_8F_5095511_041.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
D05_hvs_526_8F_5347638_041.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
D05_hvs_883_8F_5095511_041.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
D05_hvs_96_8F_4338589_041.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__granulomatis	-1.0
D06_hvs_162_8F_4338589_042.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__pneumoniae	-1.0
D06_hvs_496_8F_5095511_042.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
D06_hvs_664_8F_5347638_042.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__pneumoniae	-1.0
D06_hvs_938_8F_5095511_042.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
D07_hvs_197_8F_4338589_057.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
D07_hvs_525_8F_5095511_057.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
D07_hvs_739_8F_5347638_057.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__fergusonii	-1.0
D07_hvs_972_8F_5095511_057.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__boydii	-1.0
D08_hvs_221_8F_4338589_058.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; s__amnigena	-1.0
